Ligand,PubChem_CID,Binding_Affinity_kcal_mol,RMSD_lb,RMSD_ub
Acetaminophen,1983,-5.4,0,0
Artemether,68911,-6.9,0,0
Aspirin,2244,-5.9,0,0
Caffeine,2519,-5.6,0,0
Diclofenac,3033,-6.0,0,0
Ibuprofen,3672,-6.4,0,0
Lumefantrine,6437380,-7.0,0,0
Metformin,4091,-4.7,0,0
Naproxen,156391,-6.9,0,0
Theophylline,2153,-5.6,0,0
